# ['﻿k', 'ca', 'no3', 'nh4']
1.153243541717529297e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.152761459350585938e+01
1.539299964904785156e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.007778739929199219e+01
5.715194225311279297e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.314843940734863281e+01
9.004807472229003906e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.246861267089843750e+01
2.039914846420288086e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.397254562377929688e+01
1.779805898666381836e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.382251167297363281e+01
1.545351219177246094e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.936934661865234375e+01
1.378423690795898438e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.085775756835937500e+01
8.921674728393554688e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.250880241394042969e+01
1.151490926742553711e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.415891647338867188e+01
1.538960361480712891e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.943939208984375000e+01
1.132425069808959961e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.416665077209472656e+01
1.325514221191406250e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.095709037780761719e+01
3.447788000106811523e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.368657684326171875e+01
5.662257671356201172e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.314966201782226562e+01
6.077370166778564453e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.332394599914550781e+01
1.092015743255615234e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.162867546081542969e+01
1.388611316680908203e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.085961341857910156e+01
1.547036838531494141e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.938209724426269531e+01
2.820512533187866211e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.386117935180664062e+01
2.370239019393920898e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.372270774841308594e+01
1.533058643341064453e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.923473739624023438e+01
2.172590017318725586e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.354428291320800781e+01
2.447562932968139648e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.372161865234375000e+01
1.501767730712890625e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.939523315429687500e+01
4.689738750457763672e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.303479385375976562e+01
7.899095058441162109e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.291314125061035156e+01
